Power_mW	Cell.size_um2	target_cell_induction	neighborings_induction	local_cells_induction	cell_death
14	1038.505	NA	NA	NA	1
14	3090.799	0	1	1	0
14	2289.528	NA	NA	NA	1
14	4144.091	0	1	1	0
12	1154.93	NA	NA	NA	1
11.5	2460.297	1	1	1	0
11.5	2905.955	0	1	1	0
12	3175.299	0	1	1	0
12	3095.605	0	1	1	0
12.5	580.04	NA	NA	NA	1
12.5	3334.317	1	1	1	0
12.5	3046.357	1	1	1	0
12.5	1743.446	0	1	1	0
12.5	1136.261	NA	NA	NA	1
12.5	3902.949	1	1	1	0
12.5	3764.607	1	1	1	0
12.5	3790.195	0	1	1	0
12.5	4717.45	1	1	1	0
11	1328.129	0	1	1	0
11	4233.424	1	1	1	0
11	1112.707	0	1	1	0
11	3744.459	1	1	1	0
11.5	3661.015	1	1	1	0
11.5	3877.335	0	1	1	0
11.5	1260.318	NA	NA	NA	1
11.5	3042.211	1	1	1	0
10	1152.791	NA	NA	NA	1
10	2490.453	1	1	1	0
10	824.562	1	1	1	0
10	4078.789	1	1	1	0
10	3113.772	1	1	1	0
10	3489.401	0	1	1	0
10	3461.173	1	1	1	0
10	3586.814	1	1	1	0
10	2919.079	0	1	1	0
10	1051.84	1	1	1	0
10	2552.507	1	1	1	0
10	3838.386	0	0	0	0
10	4037.595	0	1	1	0
10	4406.86	0	0	0	0
10	1308.166	1	1	1	0
10	2850.66	0	0	0	0
10	4078.313	0	0	0	0
10	2649.735	0	1	1	0
10.5	3278.653	0	1	1	0
10.5	1207.822	1	1	1	0
10.5	4323.126	0	0	0	0
10.5	3494.26	0	1	1	0
10.5	2814.933	0	1	1	0
10.5	2432.465	0	1	1	0
10.5	1678.408	NA	NA	NA	1
10.5	2168.112	NA	NA	NA	1
10.5	5012.672	0	0	0	0
10.5	3128.19	0	1	1	0
10.5	4269.97	0	1	1	0
10.5	3604.638	0	1	1	0
10.5	1746.008	1	1	1	0
10.5	3251.983	0	0	0	0
11	4926.588	0	1	1	0
11	1392.956	1	1	1	0
11	4009.631	0	1	1	0
11	2504.052	0	1	1	0
8.5	1375.977	1	0	1	0
8.5	3985.205	1	0	1	0
8.5	3829.725	1	0	1	0
8.5	4194.211	0	0	0	0
9	3377.861	0	1	1	0
9	3630.041	0	0	0	0
9	1139.298	1	0	1	0
9	3033.55	0	1	1	0
9	3620.218	0	0	0	0
9	4698.649	0	0	0	0
9	3412.137	0	0	0	0
9	4912.329	0	0	0	0
9	3496.003	0	0	0	0
9.5	887.91	NA	NA	NA	1
9	3369.755	0	0	0	0
9	4884.919	0	0	0	0
9	4163.262	0	0	0	0
9.5	1702.754	NA	NA	NA	1
9.5	3184.647	0	0	0	0
9.5	3415.833	1	0	1	0
9.5	2636.004	0	1	1	0
9.5	703.198	1	1	1	0
9.5	4670.579	0	1	1	0
9.5	3035.372	1	0	1	0
9.5	2668.721	0	0	0	0
9.5	2285.091	0	0	0	0
9.5	3617.181	0	0	0	0
9.5	3822.411	0	0	0	0
9.5	1286.011	1	1	1	0
9.5	4267.778	0	0	0	0
9.5	3161.885	0	0	0	0
9.5	5213.333	0	0	0	0
9.5	3660.54	0	1	1	0
9.5	3599.991	0	0	0	0
9.5	4660.624	0	0	0	0
8	1491.399	1	0	1	0
7.5	4179.713	0	0	0	0
7.5	2876.67	0	0	0	0
7.5	4191.728	0	0	0	0
7.5	1502.595	1	0	1	0
7.5	3398.484	0	0	0	0
8	3375.722	0	0	0	0
8	3031.49	0	0	0	0
8	4358.378	0	0	0	0
7.5	1150.177	1	0	1	0
8	2746.857	0	0	0	0
8	3864.502	0	0	0	0
8	2940.732	0	0	0	0
9.5	1202.488	1	1	1	0
6.5	1039.297	1	0	1	0
6.5	2679.284	0	0	0	0
6.5	2922.908	0	0	0	0
6.5	2884.091	0	0	0	0
6.5	4038.625	0	0	0	0
6.5	4801.739	0	0	0	0
6.5	4196.957	0	0	0	0
6.5	3804.085	0	0	0	0
6.5	2247.806	0	0	0	0
6.5	1347.353	1	0	1	0
6.5	2728.532	0	0	0	0
6.5	3582.008	0	0	0	0
6.5	3298.326	0	0	0	0
6.5	3160.406	0	0	0	0
6.5	3182.033	0	0	0	0
6.5	2926.552	0	0	0	0
7	3167.668	0	0	0	0
7	2431.276	0	0	0	0
7	617.985	1	0	1	0
7	2168.719	0	0	0	0
7	2723.646	0	0	0	0
